
2025/03/22 (21:45:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/22 (21:45:55) | WARNING: Failed to join _runner thread on exit!

2025/03/23 (12:41:18) | ===> btop++ v.1.4.0
2025/03/23 (12:41:18) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/23 (19:57:27) | WARNING: Failed to join _runner thread on exit!

2025/03/23 (22:26:33) | ===> btop++ v.1.4.0
2025/03/23 (22:26:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/23 (22:28:10) | WARNING: Failed to join _runner thread on exit!

2025/03/23 (22:30:25) | ===> btop++ v.1.4.0
2025/03/23 (22:30:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (09:15:45) | ===> btop++ v.1.4.0
2025/03/24 (09:15:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (13:46:05) | ===> btop++ v.1.4.0
2025/03/25 (13:46:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (13:46:16) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (13:47:15) | ===> btop++ v.1.4.0
2025/03/25 (13:47:15) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (13:47:52) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (12:36:56) | ===> btop++ v.1.4.0
2025/03/26 (12:36:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (12:37:17) | ===> btop++ v.1.4.0
2025/03/26 (12:37:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (12:37:39) | WARNING: Failed to join _runner thread on exit!
